tile,method,coverage_pct,dice_vs_deepforest,dice_vs_samgeo,dice_vs_segformer_b5,dice_vs_deeplab,dice_vs_tcd_segformer,dice_vs_ensemble,dice_vs_vari
ovgu_bbox_tile_0_0,vari,32.19,0.2539,0.3257,0.6615,0.0,0.5876,0.2665,
ovgu_bbox_tile_0_0,deepforest,6.8,,0.3026,0.2393,0.0,0.4136,0.8426,0.2539
ovgu_bbox_tile_0_0,samgeo,7.62,0.3026,,0.2145,0.0,0.2919,0.3146,0.3257
ovgu_bbox_tile_0_0,segformer_b5,43.26,0.2393,0.2145,,0.0,0.5791,0.1978,0.6615
ovgu_bbox_tile_0_0,deeplab,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ovgu_bbox_tile_0_0,tcd_segformer,18.38,0.4136,0.2919,0.5791,0.0,,0.3688,0.5876
ovgu_bbox_tile_0_0,ensemble,4.95,0.8426,0.3146,0.1978,0.0,0.3688,,0.2665
ovgu_bbox_tile_0_1,vari,42.45,0.3108,0.4539,0.7253,0.0,0.6528,0.3269,
ovgu_bbox_tile_0_1,deepforest,10.94,,0.455,0.2814,0.0,0.4241,0.8627,0.3108
ovgu_bbox_tile_0_1,samgeo,14.67,0.455,,0.3478,0.0,0.4384,0.4827,0.4539
ovgu_bbox_tile_0_1,segformer_b5,63.89,0.2814,0.3478,,0.0,0.6544,0.2252,0.7253
ovgu_bbox_tile_0_1,deeplab,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ovgu_bbox_tile_0_1,tcd_segformer,31.8,0.4241,0.4384,0.6544,0.0,,0.368,0.6528
ovgu_bbox_tile_0_1,ensemble,8.3,0.8627,0.4827,0.2252,0.0,0.368,,0.3269
ovgu_bbox_tile_1_0,vari,28.83,0.2485,0.4475,0.5678,0.0,0.4328,0.2579,
ovgu_bbox_tile_1_0,deepforest,5.52,,0.3427,0.3096,0.0,0.5477,0.8722,0.2485
ovgu_bbox_tile_1_0,samgeo,9.71,0.3427,,0.3539,0.0,0.5026,0.3301,0.4475
ovgu_bbox_tile_1_0,segformer_b5,26.45,0.3096,0.3539,,0.0,0.5238,0.2582,0.5678
ovgu_bbox_tile_1_0,deeplab,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ovgu_bbox_tile_1_0,tcd_segformer,10.97,0.5477,0.5026,0.5238,0.0,,0.4884,0.4328
ovgu_bbox_tile_1_0,ensemble,4.27,0.8722,0.3301,0.2582,0.0,0.4884,,0.2579
ovgu_bbox_tile_1_1,vari,24.74,0.3926,0.4401,0.5818,0.0,0.5316,0.4446,
ovgu_bbox_tile_1_1,deepforest,11.29,,0.4988,0.4549,0.0,0.6539,0.7703,0.3926
ovgu_bbox_tile_1_1,samgeo,8.72,0.4988,,0.4162,0.0,0.6125,0.5827,0.4401
ovgu_bbox_tile_1_1,segformer_b5,27.06,0.4549,0.4162,,0.0,0.603,0.384,0.5818
ovgu_bbox_tile_1_1,deeplab,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ovgu_bbox_tile_1_1,tcd_segformer,13.13,0.6539,0.6125,0.603,0.0,,0.6178,0.5316
ovgu_bbox_tile_1_1,ensemble,7.07,0.7703,0.5827,0.384,0.0,0.6178,,0.4446
